name,location_found,pattern_type,pattern,scope,confidence_no_fp,expected_countries,source,exp_url,notes,other_names
ooni.by_4,dns,full,134.17.0.7,isp,5,BY,ooni,,Belarusian ISP block on mobile ISP MTS uses a DNS forward,cl.dns_isp_by_mts
ooni.cn_0,dns,full,8.7.198.45,nat,5,CN,ooni,,A published poison reply IP related to Chinese GFW (ARIN),cl.dns_nat_cn_poison_01
ooni.cn_1,dns,full,37.61.54.158,nat,5,CN,ooni,,A published poison reply IP related to Chinese GFW (European Regional Registry),cl.dns_nat_cn_poison_02
ooni.cn_2,dns,full,46.82.174.68,nat,5,CN,ooni,,A published poison reply IP related to Chinese GFW (Deutsche Telecom),cl.dns_nat_cn_poison_03
ooni.cn_3,dns,full,78.16.49.15,nat,5,CN,ooni,https://explorer.ooni.org/measurement/20191205T074509Z_AS4134_snD532tevf4HneyRwKvtRLSxBppvIFgxGq8FwjFKH3R1eSVv1m?input=http://kareemazmy.blogspot.com/,A published poison reply IP related to Chinese GFW (Esat Telecommunications Limited),cl.dns_nat_cn_poison_04
ooni.cn_4,dns,full,93.46.8.89,nat,5,CN,ooni,,A published poison reply IP related to Chinese GFW (Fastweb),cl.dns_nat_cn_poison_05
ooni.cn_5,dns,full,159.106.121.75,nat,5,CN,ooni,,A published poison reply IP related to Chinese GFW (DoD),cl.dns_nat_cn_poison_06
ooni.cn_6,dns,full,203.98.7.65,nat,5,CN,ooni,,A published poison reply IP related to Chinese GFW (Telstra),"cl.dns_nat_cn_poison_07,cl.dns_nat_cn_poison_09,ooni.cn_8"
ooni.cn_7,dns,full,59.24.3.173,nat,5,CN,ooni,,A published poison reply IP related to Chinese GFW (Korea Telecom),cl.dns_nat_cn_poison_08
ooni.cn_9,dns,full,243.185.187.39,nat,5,CN,ooni,,A published poison reply IP related to Chinese GFW,cl.dns_nat_cn_poison_10
ooni.id_39,dns,full,180.131.146.7,,5,ID,ooni,https://explorer.ooni.org/measurement/20170214T023529Z_AS17974_1hVbJGBPLdOsxQvNgIawwvABxfZuLNeVK5VaY1XWajguEt0yK3?input=http://www.lesbian.org,Indonesian Sehat DNS filtering product,cl.dns_prod_id_nawala
ooni.id_40,dns,full,202.3.219.209,isp,5,ID,ooni,https://explorer.ooni.org/measurement/20170316T024318Z_AS23693_CQPxlyILeqGXlHzFqGSCPR6MgtCBfZtbs3h2l37MOyiU77N1xP?input=http://www.bglad.com,Indonesian ISP Telkomsel Internet Baik sehat blockpage,cl.dns_isp_id_sehat_telkomsel_baik
ooni.id_41,dns,full,restricted.tri.co.id,isp,5,ID,ooni,https://explorer.ooni.org/measurement/20200329T090119Z_AS45727_GqQe4DZduLsSaYZB6qnqeMpsNgJn7dTvEaoEFZ0eGGmjyBoQG4?input=https://www.scruff.com/,"Indonesian ISP Tri blockpage, matches on the CNAME",cl.dns_isp_id_sehat_tri_cname
ooni.id_42,dns,full,116.206.10.31,isp,5,ID,ooni,https://explorer.ooni.org/measurement/20200329T090119Z_AS45727_GqQe4DZduLsSaYZB6qnqeMpsNgJn7dTvEaoEFZ0eGGmjyBoQG4?input=https://www.scruff.com/,"Indonesian ISP Tri blockpage, matches on the IP",cl.dns_isp_id_sehat_tri_ip
ooni.id_43,dns,full,36.86.63.185,isp,5,ID,ooni,https://explorer.ooni.org/measurement/20171025T095349Z_AS131709_vvCnDreaVjMN1MQ2imNyl4ynBG4EhIZRdWHJIBKgOexJSnaWcb?input=http://www.bglad.com,Indonesian ISP Telkom Uzone sehat blockpage,cl.dns_isp_id_sehat_telkom_uzone
ooni.id_44,dns,full,internet-positif.org,isp,5,ID,ooni,https://explorer.ooni.org/measurement/20191114T004142Z_AS17974_zSo1qO4rG5Isd8Rr2WGTHYV4hwK9jeGkR201ACNu7np3CxXqOQ?input=http://ilga.org/,Indonesian ISP Telkom Uzone sehat blockpage. Mercusuar (lighthouse) is a branding of Telkomsel's Uzone. This matches the CNAME record but IP was 118.97.116.27 at the time observed.,cl.dns_isp_id_sehat_telkom_uzone_mercusuar
